Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;quality
28;Michael S.;1;1;1;9999;2015-11-20 00:30;7
28;HansC H.;2;2;1;1;2015-11-20 00:31;0
28;Jasmin K.;3;2;1;1;2015-11-20 00:32;-4
28;Rainer K.;4;3;2;2;2015-11-20 00:33;8
28;Cornelia G.;5;3;3;3;2015-11-20 00:34;1
28;Uhu;6;1;6;9999;2015-11-20 00:35;14
28;Alex B.;7;1;7;9999;2015-11-20 00:36;7
28;Alexander K.;8;2;7;7;2015-11-20 00:37;0
28;Karl S.;9;1;9;9999;2015-11-20 00:38;7
28;J K.;10;1;10;9999;2015-11-20 00:39;14
28;Alexander K.;11;2;10;10;2015-11-20 00:40;3
28;Huber T.;12;1;12;9999;2015-11-20 00:41;14
28;Forest W.;13;1;13;9999;2015-11-20 00:42;7
28;Martina W.;14;2;13;13;2015-11-20 00:43;3
28;Francois M.;15;1;15;9999;2015-11-20 00:44;7
28;Hans K.;16;1;16;9999;2015-11-20 00:45;14
28;Elke R.;17;1;17;9999;2015-11-20 00:46;7
28;franziska b.;18;1;18;9999;2015-11-20 00:47;7
28;Rainer M.;19;1;19;9999;2015-11-20 00:48;7
28;Monika S.;20;1;20;9999;2015-11-20 00:49;7
28;Heinz B.;21;1;21;9999;2015-11-20 00:50;7
28;Kurt T.;22;1;22;9999;2015-11-20 00:51;14
28;A K.;23;1;23;9999;2015-11-20 00:52;7
28;Martina W.;24;1;24;9999;2015-11-20 00:53;7
28;Michael E.;25;1;25;9999;2015-11-20 00:54;14
28;Gerd M.;26;1;26;9999;2015-11-20 00:55;7
28;Maya S.;27;1;27;9999;2015-11-20 00:56;21
28;Berliner BŠrchen;28;1;28;9999;2015-11-20 00:57;7
28;ichausdemosten;29;2;28;28;2015-11-20 00:58;1
28;Thomas R.;30;1;30;9999;2015-11-20 00:59;14
28;wolfgang k.;31;2;30;30;2015-11-20 01:00;-6
28;Andrea;32;1;32;9999;2015-11-20 01:01;14
28;Steffen Z.;33;2;32;32;2015-11-20 01:02;1
28;Ulrich O.;34;3;33;33;2015-11-20 01:03;22
28;Ingo M.;35;2;32;32;2015-11-20 01:04;29
28;Andrea;36;1;36;9999;2015-11-20 01:05;21
28;Johnny F.;37;2;36;36;2015-11-20 01:06;10
28;Steffen P.;38;2;36;36;2015-11-20 01:07;3
28;Dietmar G.;39;2;36;36;2015-11-20 01:08;0
28;Ulrich O.;40;3;39;39;2015-11-20 01:09;22
28;Andrea;41;1;41;9999;2015-11-20 01:10;7
28;Betti S.;42;2;41;41;2015-11-20 01:11;14
28;Tina S.;43;2;41;41;2015-11-20 01:12;15
28;Ulrich O.;44;3;42;42;2015-11-20 01:13;22
28;Ingo M.;45;2;41;41;2015-11-20 01:14;22
28;Andrea;46;1;46;9999;2015-11-20 01:15;7
28;Martin E.;47;2;46;46;2015-11-20 01:16;7
28;manfred r.;48;2;46;46;2015-11-20 01:17;3
28;Ulrich O.;49;3;47;47;2015-11-20 01:18;14
28;Oliver E.;50;1;50;9999;2015-11-20 01:19;7
28;walter d.;51;1;51;9999;2015-11-20 01:20;7
28;Rainer W.;52;1;52;9999;2015-11-20 01:21;7
28;Dietmar G.;53;2;52;52;2015-11-20 01:22;7
28;ichausdemosten;54;1;54;9999;2015-11-20 01:23;7
28;Peter M.;55;1;55;9999;2015-11-20 01:24;21
28;Jannick M.;56;1;56;9999;2015-11-20 01:25;7
28;Nino R.;57;1;57;9999;2015-11-20 01:26;7
28;Franz E.;58;2;57;57;2015-11-20 01:27;3
28;Franz E.;59;1;59;9999;2015-11-20 01:28;14
28;Lilli P.;60;1;60;9999;2015-11-20 01:29;7
28;Flintenuschis k.;61;1;61;9999;2015-11-20 01:30;7
28;hermangerman;62;1;62;9999;2015-11-20 01:31;7
28;Poly L.;63;1;63;9999;2015-11-20 01:32;14
28;Lutz H.;64;1;64;9999;2015-11-20 01:33;7
28;Marco H.;65;1;65;9999;2015-11-20 01:34;7
28;MaKiLu;66;1;66;9999;2015-11-20 01:35;7
28;Joachim N.;67;1;67;9999;2015-11-20 01:36;7
