Artikelnr;acc_name;Gesamtnr;row;ausg_nr;beznr_komm;relative_date;color;
1;EinLeser69;1;1;1;9999;2015-11-20 00:30;#40FF13;
1;H_o_C;2;2;1;1;2015-11-20 00:31;#40FF13;
1;ChepCon;3;2;1;1;2015-11-20 00:32;#40FF13;
1;MisterMankind;4;3;2;2;2015-11-20 00:33;#40FF13;
1;H_o_C;5;4;4;4;2015-11-20 00:34;#40FF13;
1;MisterMankind;6;5;5;5;2015-11-20 00:35;#40FF13;
1;Rubinsky;7;3;2;2;2015-11-20 00:36;#40FF13;
1;ChepCon;8;3;2;2;2015-11-20 00:37;#40FF13;
1;TheSmilingBandit;9;3;3;3;2015-11-20 00:38;#40FF13;
1;meinungsfreizeit;10;2;1;1;2015-11-20 00:39;#40FF13;
1;EinLeser69;11;3;2;2;2015-11-20 00:40;#40FF13;
1;zeit looser;12;2;1;1;2015-11-20 00:41;#40FF13;
1;atech;13;2;1;1;2015-11-20 00:42;#40FF13;
1;rubikon64;14;2;1;1;2015-11-20 00:43;#40FF13;
1;AgainstBigotry;15;3;2;2;2015-11-20 00:44;#40FF13;
1;XYZA;16;2;1;1;2015-11-20 00:45;#40FF13;
1;P. Wimsey;17;3;2;2;2015-11-20 00:46;#40FF13;
1;Martina Kairo;18;2;1;1;2015-11-20 00:47;#40FF13;
1;H_o_C;19;4;15;15;2015-11-20 00:48;#40FF13;
1;rubikon64;20;4;11;11;2015-11-20 00:49;#40FF13;
1;Max Artur;21;3;2;2;2015-11-20 00:50;#40FF13;
1;Alfredo Garcia;22;3;3;3;2015-11-20 00:51;#40FF13;
1;Rotomon;23;4;11;11;2015-11-20 00:52;#40FF13;
1;MarianneSchulz;24;2;1;1;2015-11-20 00:53;#40FF13;
1;pattso;25;2;1;1;2015-11-20 00:54;#40FF13;
1;Belair;26;4;17;17;2015-11-20 00:55;#40FF13;
1;ChepCon;27;4;22;22;2015-11-20 00:56;#40FF13;
1;EinLeser69;28;5;23;23;2015-11-20 00:57;#40FF13;
1;DerIrrste;29;3;3;3;2015-11-20 00:58;#40FF13;
1;EinLeser69;30;3;24;24;2015-11-20 00:59;#40FF13;
1;herbert nau;31;3;18;18;2015-11-20 01:00;#40FF13;
1;dertagdanach;32;2;1;1;2015-11-20 01:01;#40FF13;
1;gabriele b;33;5;27;27;2015-11-20 01:02;#40FF13;
1;DavidXY;34;2;1;1;2015-11-20 01:03;#40FF13;
1;keats;35;3;10;10;2015-11-20 01:04;#40FF13;
1;petuhtante;36;2;1;1;2015-11-20 01:05;#40FF13;
1;Volker.B.;37;3;2;2;2015-11-20 01:06;#40FF13;
1;Dromedaner;38;4;8;8;2015-11-20 01:07;#40FF13;
1;fddsfdfdfd;39;2;1;1;2015-11-20 01:08;#40FF13;
1;imagin_friend7;40;4;22;22;2015-11-20 01:09;#40FF13;
1;fddsfdfdfd;41;4;11;11;2015-11-20 01:10;#40FF13;
